"provinsi","kota_kab","kecamatan","kode_pos"
"DKI Jakarta","Jakarta Pusat","Gambir",10130
"DKI Jakarta","Jakarta Pusat","Gambir",10150
"DKI Jakarta","Jakarta Pusat","Tanah Abang",10230
"DKI Jakarta","Jakarta Pusat","Tanah Abang",10270
"DKI Jakarta","Jakarta Pusat","Menteng",10310
"DKI Jakarta","Jakarta Pusat","Menteng",10330
"DKI Jakarta","Jakarta Pusat","Menteng",10350
"DKI Jakarta","Jakarta Pusat","Kemayoran",10610
"DKI Jakarta","Jakarta Barat","Kebon Jeruk",11530
"DKI Jakarta","Jakarta Barat","Kembangan",11610
"DKI Jakarta","Jakarta Barat","Kembangan",11620
"DKI Jakarta","Jakarta Barat","Kembangan",11640
"DKI Jakarta","Jakarta Barat","Cengkareng",11740
"DKI Jakarta","Jakarta Barat","Kalideres",11820
"DKI Jakarta","Jakarta Barat","Kalideres",11830
"DKI Jakarta","Jakarta Barat","Kalideres",11840
"DKI Jakarta","Jakarta Selatan","Kebayoran Baru",12130
"DKI Jakarta","Jakarta Selatan","Kebayoran Baru",12150
"DKI Jakarta","Jakarta Selatan","Kebayoran Baru",12190
"DKI Jakarta","Jakarta Selatan","Kebayoran Lama",12210
"DKI Jakarta","Jakarta Selatan","Kebayoran Lama",12240
"DKI Jakarta","Jakarta Selatan","Kebayoran Lama",12310
"DKI Jakarta","Jakarta Selatan","Cilandak",12420
"DKI Jakarta","Jakarta Selatan","Cilandak",12430
"DKI Jakarta","Jakarta Selatan","Cilandak",12440
"DKI Jakarta","Jakarta Selatan","Cilandak",12450
"DKI Jakarta","Jakarta Selatan","Jagakarsa",12530
"DKI Jakarta","Jakarta Selatan","Jagakarsa",12630
"DKI Jakarta","Jakarta Selatan","Pancoran",12760
"DKI Jakarta","Jakarta Selatan","Pancoran",12780
"DKI Jakarta","Jakarta Selatan","Tebet",12810
"DKI Jakarta","Jakarta Selatan","Setia Budi",12940
"DKI Jakarta","Jakarta Selatan","Setia Budi",12950
"DKI Jakarta","Jakarta Timur","Duren Sawit",13440
"DKI Jakarta","Jakarta Timur","Duren Sawit",13460
"DKI Jakarta","Jakarta Timur","Ciracas",13720
"DKI Jakarta","Jakarta Timur","Ciracas",13740
"DKI Jakarta","Jakarta Timur","Cipayung",13820
"Banten","Tangerang","Batuceper",15122
"Banten","Tangerang","Benda",15124
"Banten","Tangerang","Pinang (Penang)",15145
"Banten","Tangerang","Kosambi",15211
"Banten","Tangerang Selatan","Serpong",15310
"Banten","Tangerang Selatan","Setu",15315
"Banten","Tangerang Selatan","Serpong",15322
"Banten","Tangerang Selatan","Serpong Utara",15325
"Banten","Tangerang","Pagedangan",15331
"Banten","Tangerang","Pagedangan",15339
"Banten","Tangerang","Cisauk",15345
"Banten","Tangerang Selatan","Ciputat Timur",15412
"Banten","Tangerang Selatan","Pamulang",15417
"Banten","Tangerang","Sepatan",15520
"Banten","Tangerang","Balaraja",15610
"Banten","Tangerang","Cikupa",15710
"Banten","Tangerang","Tigaraksa",15720
"Banten","Tangerang","Curug",15810
"Jawa Barat","Bogor","Bogor Barat - Kota",16112
"Jawa Barat","Bogor","Bogor Barat - Kota",16113
"Jawa Barat","Bogor","Bogor Selatan - Kota",16134
"Jawa Barat","Bogor","Bogor Timur - Kota",16141
"Jawa Barat","Bogor","Bogor Timur - Kota",16146
"Jawa Barat","Bogor","Bogor Utara - Kota",16158
"Jawa Barat","Bogor","Tanah Sereal",16164
"Jawa Barat","Bogor","Parung",16330
"Jawa Barat","Bogor","Gunung Sindur",16340
"Jawa Barat","Depok","Sukmajaya",16411
"Jawa Barat","Depok","Beji",16423
"Jawa Barat","Depok","Beji",16424
"Jawa Barat","Depok","Tapos",16454
"Jawa Barat","Depok","Tapos",16459
"Jawa Barat","Depok","Cinere",16514
"Jawa Barat","Depok","Bojongsari",16516
"Jawa Barat","Depok","Bojongsari",16517
"Jawa Barat","Bogor","Sukaraja",16710
"Jawa Barat","Bogor","Citeureup",16810
"Jawa Barat","Bogor","Cileungsi",16820
"Jawa Barat","Bogor","Cibinong",16912
"Jawa Barat","Bogor","Cibinong",16913
"Jawa Barat","Bogor","Cibinong",16916
"Jawa Barat","Bogor","Gunung Putri",16967
"Jawa Barat","Bogor","Gunung Putri",16968
"Jawa Barat","Bekasi","Jati Sampurna",17435
"Jawa Barat","Bandung","Sumur Bandung",40112
"Jawa Barat","Bandung","Bandung Wetan",40115
"Jawa Barat","Bandung","Sumur Bandung",40117
"Jawa Barat","Bandung","Cibeunying Kidul",40121
"Jawa Barat","Bandung","Cibeunying Kaler",40124
"Jawa Barat","Bandung","Cibeunying Kidul",40125
"Jawa Barat","Bandung","Coblong",40131
"Jawa Barat","Bandung","Cidadap",40141
"Jawa Barat","Bandung","Sukajadi",40161
"Jawa Barat","Bandung","Sukajadi",40163
"Jawa Barat","Bandung","Cicendo",40171
"Jawa Barat","Bandung","Cicendo",40172
"Jawa Barat","Bandung","Cicendo",40173
"Jawa Barat","Bandung","Andir",40181
"Jawa Barat","Bandung","Margaasih",40218
"Jawa Barat","Bandung","Babakan Ciparay",40222
"Jawa Barat","Bandung","Babakan Ciparay",40225
"Jawa Barat","Bandung","Bojongloa Kaler",40233
"Jawa Barat","Bandung","Bojongloa Kidul",40236
"Jawa Barat","Bandung","Regol",40251
"Jawa Barat","Bandung","Lengkong",40262
"Jawa Barat","Bandung","Bandung Kidul",40266
"Jawa Barat","Bandung","Batununggal",40272
"Jawa Barat","Bandung","Batununggal",40273
"Jawa Barat","Bandung","Batununggal",40274
"Jawa Barat","Bandung","Kiaracondong",40282
"Jawa Barat","Bandung","Buahbatu (Margacinta)",40286
"Jawa Barat","Bandung","Antapani (Cicadas)",40291
"Jawa Barat","Bandung","Arcamanik",40293
"Jawa Barat","Bandung","Cinambo",40294
"Jawa Barat","Cimahi","Cimahi Utara",40513
"Jawa Barat","Cimahi","Cimahi Selatan",40533
"Jawa Barat","Bandung Barat","Padalarang",40553
"Jawa Barat","Bandung","Cileunyi",40623
"Banten","Serang","Serang",42114
"Banten","Serang","Serang",42116
"Banten","Serang","Cipocok Jaya",42121
"Banten","Serang","Taktakan",42162
"Banten","Serang","Lebak Wangi",42182
"Banten","Pandeglang","Cadasari",42251
"Banten","Lebak","Warunggunung",42352
"Banten","Cilegon","Cibeber",42422
"Banten","Cilegon","Purwakarta",42431
"Jawa Barat","Sukabumi","Baros",43161
"Jawa Barat","Sukabumi","Sukaraja",43192
"Jawa Barat","Cianjur","Warungkondang",43261
"Jawa Barat","Cianjur","Karangtengah",43281
"Jawa Barat","Sumedang","Cisitu",45363
"Jawa Barat","Majalengka","Sindangwangi",45474
"Jawa Tengah","Semarang","Gayamsari",50164
"Jawa Tengah","Semarang","Tuntang",50219
"Jawa Tengah","Semarang","Tengaran",50775
"Jawa Tengah","Pekalongan","Pekalongan Barat",51111
"Jawa Tengah","Pekalongan","Tirto",51151
"Jawa Tengah","Kendal","Weleri",51355
"Jawa Tengah","Tegal","Tegal Barat",52111
"Jawa Tengah","Tegal","Tegal Barat",52112
"Jawa Tengah","Tegal","Tegal Timur",52122
"Jawa Tengah","Banyumas","Sokaraja",53181
"Jawa Tengah","Cilacap","Maos",53272
"Jawa Tengah","Kebumen","Kebumen",54313
"DI Yogyakarta","Yogyakarta","Kotagede",55171
"DI Yogyakarta","Bantul","Sewon",55188
"DI Yogyakarta","Sleman","Gamping",55291
"Jawa Tengah","Magelang","Mertoyudan",56172
"Jawa Tengah","Wonosobo","Wonosobo",56314
"Jawa Tengah","Surakarta (Solo)","Banjarsari",57136
"Jawa Tengah","Sukoharjo","Kartasura",57165
"Jawa Tengah","Karanganyar","Colomadu",57177
"Jawa Tengah","Klaten","Trucuk",57467
"Jawa Tengah","Wonogiri","Selogiri",57652
"Jawa Tengah","Grobogan","Grobogan",58152
"Jawa Tengah","Pati","Pati",59119
"Jawa Tengah","Kudus","Kudus Kota",59319
"Jawa Tengah","Kudus","Jati",59344
"Jawa Tengah","Kudus","Mejobo",59381
"Jawa Tengah","Jepara","Pecangaan",59462
"Jawa Timur","Surabaya","Karangpilang",60222
"Jawa Timur","Surabaya","Gununganyar",60293
"Jawa Timur","Sidoarjo","Waru",61256
"Sulawesi Tenggara","Kendari","Mandonga",93111
"Sulawesi Tenggara","Kendari","Puuwatu",93115
"Sulawesi Tengah","Palu","Palu Utara",94147
"Sulawesi Tengah","Banggai","Luwuk",94711
"Sulawesi Utara","Manado","Paal Dua",95127
"Sulawesi Utara","Manado","Tikala",95129
"Sulawesi Utara","Manado","Singkil",95234
"Gorontalo","Gorontalo","Kota Barat",96133
"Maluku","Ambon","Baguala",97232
"Maluku Utara","Ternate","Ternate Selatan (Kota)",97716
"Maluku Utara","Halmahera Utara","Tobelo Timur",97762
"Papua Barat","Manokwari","Manokwari Utara",98315
"Papua","Jayapura","Abepura",99221
"Papua","Merauke","Merauke",99614
