"","nama_customer","sales_order","kubikasi_pemenuhan_m3","berat_pemenuhan_kg","tanggal_order","tanggal_po_expired"
"1","MITRAGEMILANG INTI PERKASA-TEGAL,PT","111172310",0.75187834,194.445344016,2022-11-28,2022-12-01
"2","MITRAGEMILANG INTI PERKASA-TEGAL,PT","111172311",0.036,4.903364016,2022-11-28,2022-12-01
"3","GEMILANG ABADI - SEMARANG, CV","111172276",6.92170974,1876.626758014,2022-11-25,2022-12-01
"4","GEMILANG ABADI - SEMARANG, CV","111172277",0.0384,27.0948,2022-11-25,2022-12-01
"5","GEMILANG ABADI - SEMARANG, CV","113028449",0.8868432,205.27872,2022-11-25,2022-12-01
"6","TRIO SUKSES MANDIRI - SOLO, PT (WRP)","111172299",0.08682,59.675299944,2022-11-28,NA
"7","SUMBER JAYA ADIDAYA - TOBELO, PT","111172401",0.97551024,284.174052,2022-11-30,2022-12-01
"8","SUMBER JAYA ADIDAYA - TOBELO, PT","111172402",0.08062224,38.664768,2022-11-30,2022-12-01
"9","SUMBER JAYA ADIDAYA - TOBELO, PT","111172403",0.1514,42.704,2022-11-30,2022-12-01
"10","SUMBER JAYA ADIDAYA - TOBELO, PT","111172404",16.538328,4680,2022-11-30,2022-12-01
"11","SUMBER JAYA ADIDAYA - TOBELO, PT","111172405",0.28378,61.11026,2022-11-30,2022-12-01
"12","SUMBER JAYA ADIDAYA - TOBELO, PT","111172406",0.06435,8.064,2022-11-30,2022-12-01
"13","SUMBER JAYA ADIDAYA - TOBELO, PT","113028466",0.04176,7.11,2022-11-30,2022-12-01
"14","SUMBER JAYA ADIDAYA - TOBELO, PT","113028467",0.3568,87.68,2022-11-30,2022-12-01
"15","SUMBER JAYA ADIDAYA - TOBELO, PT","113028468",0.01584,10.70736,2022-11-30,2022-12-01
"16","Gudang Lazada Depok (Main WH)","872003244",0.11208,13.54504,2022-11-29,2022-12-02
"17","Gudang Lazada Depok (Main WH)","872003245",8.76350622,2131.639531974,2022-11-29,2022-12-02
"18","MAKMUR KARYA ABADI - KEBUMEN, CV (POLOS)","111172314",0.19104,69.34944,2022-11-28,2022-12-03
"19","MAKMUR KARYA ABADI - KEBUMEN, CV (POLOS)","111172315",3.6288,971.78192,2022-11-28,2022-12-03
"20","MAKMUR KARYA ABADI - KEBUMEN, CV (POLOS)","111172316",1.93398,443.68258,2022-11-28,2022-12-03
"21","MAKMUR KARYA ABADI - KEBUMEN, CV (POLOS)","111172317",0.2146,25.2232,2022-11-28,2022-12-03
"22","MAKMUR KARYA ABADI - KEBUMEN, CV (POLOS)","113028460",0.01784,4.384,2022-11-28,2022-12-03
"23","BUDIMAS MAKMUR MULIA-WONOGIRI,PT (POLOS)","111172432",2.47712,648.03592,2022-11-30,2022-12-05
"24","BUDIMAS MAKMUR MULIA-WONOGIRI,PT (POLOS)","111172433",0.45480402,128.7,2022-11-30,2022-12-05
"25","BUDIMAS MAKMUR MULIA-WONOGIRI,PT (POLOS)","111172434",3.12812,719.9752,2022-11-30,2022-12-05
"26","BUDIMAS MAKMUR MULIA-WONOGIRI,PT (POLOS)","111172435",0.6194988,178.46849988,2022-11-30,2022-12-05
"27","BUDIMAS MAKMUR MULIA-WONOGIRI,PT (POLOS)","111172436",0.6435,80.64,2022-11-30,2022-12-05
"28","BUDIMAS MAKMUR MULIA-WONOGIRI,PT (POLOS)","113028469",0.22968,39.105,2022-11-30,2022-12-05
"29","BUDIMAS MAKMUR MULIA - KLATEN,PT (POLOS)","111172408",5.79032,1416.2402,2022-11-30,2022-12-05
"30","BUDIMAS MAKMUR MULIA - KLATEN,PT (POLOS)","111172409",3.11442,663.3778,2022-11-30,2022-12-05
"31","BUDIMAS MAKMUR MULIA - KLATEN,PT (POLOS)","111172410",0.90859824,261.753799824,2022-11-30,2022-12-05
"32","BUDIMAS MAKMUR MULIA - KLATEN,PT (POLOS)","111172411",1.1371,138.322,2022-11-30,2022-12-05
"33","GEMILANG ABADI - PEKALONGAN (POLOS), CV","111172307",0.96776,255.85996,2022-11-28,2022-12-05
"34","GEMILANG ABADI - PEKALONGAN (POLOS), CV","111172308",0.19113,37.62285,2022-11-28,2022-12-05
"35","GEMILANG ABADI - PEKALONGAN (POLOS), CV","111172309",0.0215,1.8596,2022-11-28,2022-12-05
"36","GEMILANG ABADI - PEKALONGAN, CV","111172312",0.48445566,149.490142048,2022-11-28,2022-12-05
"37","GEMILANG ABADI - PEKALONGAN, CV","111172313",0.04248,8.038882008,2022-11-28,2022-12-05
"38","TJAHYONO ABADI - KUDUS, CV","0857/Titipan/WRP/EBW/XI/2022",0.05,9,2022-11-28,NA
"39","TRIO HUTAMA - MAGELANG (POLOS), CV","111172360",5.47984,1227.52096,2022-11-29,2022-12-05
"40","TRIO HUTAMA - MAGELANG (POLOS), CV","111172361",0.2067291,58.5,2022-11-29,2022-12-05
"41","TRIO HUTAMA - MAGELANG (POLOS), CV","111172362",3.09403,708.86479,2022-11-29,2022-12-05
"42","TRIO HUTAMA - MAGELANG (POLOS), CV","111172363",3.18009384,916.138299384,2022-11-29,2022-12-05
"43","TRIO HUTAMA - MAGELANG (POLOS), CV","111172364",0.24779952,71.387399952,2022-11-29,2022-12-05
"44","TRIO HUTAMA - MAGELANG (POLOS), CV","111172365",0.53625,67.2,2022-11-29,2022-12-05
"45","TRIO HUTAMA - MAGELANG, CV","111172371",5.77904816,1631.960110084,2022-11-29,2022-12-05
"46","TRIO HUTAMA - MAGELANG, CV","111172372",0.00768,5.41896,2022-11-29,2022-12-05
"47","MITRAGEMILANG INTI PERKASA-TEGAL,PT","111172443",11.95898034,3109.88763808,2022-12-01,2022-12-01
"48","MITRAGEMILANG INTI PERKASA-TEGAL,PT","111172444",5.97812968,1296.163180004,2022-12-01,2022-12-01
"49","MITRAGEMILANG INTI PERKASA-TEGAL,PT","111172445",0.53768304,139.070383728,2022-12-01,2022-12-01
"50","MITRAGEMILANG INTI PERKASA-TEGAL,PT","111172446",0.0138,6.43692,2022-12-01,2022-12-01
"51","MITRAGEMILANG INTI PERKASA-TEGAL,PT","111172447",0.0138,6.43692,2022-12-01,2022-12-01
"52","MITRAGEMILANG INTI PERKASA-TEGAL,PT","113028472",1.0299648,171.95184,2022-12-01,2022-12-01
"53","SIGMA PRATAMA - TEGAL, UD","0859/Titipan/WRP/EBW/XI/2022",0.03,5,2022-12-01,NA
"54","MITRAGEMILANG INTI PERKASA-TGL(POLOS),PT","111172439",2.8078,539.0602,2022-12-01,2022-12-01
"55","MITRAGEMILANG INTI PERKASA-TGL(POLOS),PT","111172440",0.33076656,93.6,2022-12-01,2022-12-01
"56","MITRAGEMILANG INTI PERKASA-TGL(POLOS),PT","111172441",1.03009,239.06109,2022-12-01,2022-12-01
"57","MITRAGEMILANG INTI PERKASA-TGL(POLOS),PT","111172442",0.34325,42.1796,2022-12-01,2022-12-01
"58","MITRAGEMILANG INTI PERKASA-TGL(POLOS),PT","113028471",0.1338,32.88,2022-12-01,2022-12-01
"59","MITRA PERIANGAN PERSADA - SUKABUMI, PT","111172385",6.48132,1346.2268,2022-11-29,2022-12-05
"60","MITRA PERIANGAN PERSADA - SUKABUMI, PT","111172386",0.42806,82.48394,2022-11-29,2022-12-05
"61","MITRA PERIANGAN PERSADA - SUKABUMI, PT","111172387",2.23019568,642.486599568,2022-11-29,2022-12-05
"62","MITRA PERIANGAN PERSADA - SUKABUMI, PT","111172388",0.0644,7.2356,2022-11-29,2022-12-05
"63","TIGA SAUDARA-YOGYAKARTA BARAT,CV (POLOS)","111172428",7.8012,1872.794,2022-11-30,2022-12-05
"64","TIGA SAUDARA-YOGYAKARTA BARAT,CV (POLOS)","111172429",3.48096,737.70608,2022-11-30,2022-12-05
"65","TIGA SAUDARA-YOGYAKARTA BARAT,CV (POLOS)","111172430",0.3003,37.632,2022-11-30,2022-12-05
"66","TIGA SAUDARA-YOGYAKARTA BARAT,CV (POLOS)","111172431",0.7722,96.768,2022-11-30,2022-12-05
"67","GEMILANG ABADI - CILACAP (POLOS), CV","111172448",2.0486,553.76,2022-12-01,2022-12-05
"68","GEMILANG ABADI - CILACAP (POLOS), CV","111172449",1.46258,316.36162,2022-12-01,2022-12-05
"69","GEMILANG ABADI - CILACAP (POLOS), CV","111172450",0.2064996,59.48949996,2022-12-01,2022-12-05
